district,optimal_freq,optimal_service_tons,target_service_tons,service_ratio
MN11,3.0,1990.9424,1055.9180126140918,1.8855085112821472
MN01,3.0,1891.4278,2101.5864289773326,0.9000000066237583
MN10,3.0,1990.9424,951.4242810739518,2.0925915383961584
MN02,3.0,1990.9424,1311.8528200702972,1.517656835843302
MN03,3.0,3185.5079,3539.453168606489,0.9000000136332247
MN08,3.0,1912.7666,837.4729812893315,2.283974101534834
MN07,3.0,974.06738,928.3051785125476,1.0492965056607553
MN06,3.0,1990.9424,1427.0745752390576,1.3951214845702689
MN04,3.0,1990.9424,1632.7233164256809,1.219399747630556
MN09,3.0,1990.9424,1044.5863759392169,1.905962442033468
MN12,3.0,1990.9424,1092.269362911204,1.8227577075800974
MN05,3.0,1990.9424,1252.3947977746443,1.5897082960881554
